### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV]
n	mu	p	e
4.67962e-10	930.4598128297478	9.000000079422e-12	4.3541083493135493e-07
5.84964e-10	930.4671427535648	1.2854500250148002e-11	5.442769271934461e-07
7.33846e-10	930.4755928269927	1.8414700022552e-11	6.828073771936948e-07
9.2229e-10	930.4852327657684	2.6380199998860002e-11	8.581508451275417e-07
1.16133e-09	930.4962128063639	3.7791099667919995e-11	1.0805753757187466e-06
1.46524e-09	930.5086828094268	5.4137899979799994e-11	1.3633644044997041e-06
1.85248e-09	930.5228327550362	7.755559979104002e-11	1.7236973816222582e-06
2.34706e-09	930.5388528111856	1.1110299984364001e-10	2.1839194168791775e-06
2.98011e-09	930.5569327700416	1.591609996536e-10	2.773002859917675e-06
3.79222e-09	930.5773228378126	2.2800800111287999e-10	3.5287259272108967e-06
4.83622e-09	930.6002427787948	3.2663399940042e-10	4.500260872132263e-06
4.92567e-09	930.6020727699016	3.3555999792714e-10	4.583503151782593e-06
5.08413e-09	930.6022728033288	3.365659996329e-10	4.730966367227957e-06
7.07088e-09	930.6367727912328	5.451560023291199e-10	6.579875787991741e-06
9.89204e-09	930.6771428065724	8.856700020042e-10	9.205409853726325e-06
1.38896e-08	930.7239327768499	1.4388700552640002e-09	1.292594426664207e-05
1.95693e-08	930.7779827672948	2.337620007699e-09	1.821233595816032e-05
2.7658e-08	930.8401927873956	3.79773989376e-09	2.574138031222003e-05
3.92004e-08	930.9116028418536	6.169879925316e-09	3.648593731611648e-05
5.56984e-08	930.993352811148	1.0023700173792e-08	5.1844816462042675e-05
7.93119e-08	931.0867227588848	1.6284700005120003e-08	7.382997234677527e-05
1.13147e-07	931.1931328378365	2.6456400399220002e-08	0.00010533525300080349
1.61673e-07	931.3142227771613	4.298149942868999e-08	0.0001505253828396233
1.62748e-07	931.3166128430732	4.3369399516159995e-08	0.0001515265467074683
1.68369e-07	931.3174127888695	4.349959932768e-08	0.0001567614818745215
1.96094e-07	931.3722927911971	5.34870994797e-08	0.00018258303128311734
2.28942e-07	931.4310827940326	6.596509966956001e-08	0.0002131777298573619
2.67348e-07	931.4931827910507	8.135419958448e-08	0.0002489514852332374
3.12257e-07	931.5587527902017	1.0033299847065e-07	0.00029078540847153936
3.64775e-07	931.6279928249136	1.2374000051775e-07	0.0003397108610821901
4.26195e-07	931.7010828219185	1.5260700009554999e-07	0.00039693373599319204
4.98032e-07	931.7782228146436	1.8820900209408e-07	0.0004638671628627284
5.82057e-07	931.8596327552985	2.3211699768179998e-07	0.000542163305264969
6.80342e-07	931.945542837353	2.8626699988692005e-07	0.0006337554275051635
7.95315e-07	932.0361728251032	3.5305100162730003e-07	0.0007409092977887697
8.00657e-07	932.040172835956	3.562380003896999e-07	0.0007458882506619284
8.27523e-07	932.0414627649955	3.5730600246279e-07	0.0007709284413892145
8.29372e-07	932.0427628413388	3.5837800248324004e-07	0.0007726517923007637
8.33082e-07	932.0453528467219	3.6053199741143996e-07	0.0007761096746428414
8.36808e-07	932.0479427581482	3.6269800105896e-07	0.0007795824768825016
8.40551e-07	932.0505428168786	3.6487800290032993e-07	0.0007830711378123698
8.44311e-07	932.0531528349998	3.6706999922346e-07	0.000786575659524048
8.48088e-07	932.0557527997736	3.692760035184e-07	0.000790096023276936
8.51882e-07	932.058362817895	3.7149499796798e-07	0.0007936322472360661
8.55693e-07	932.0609827954072	3.7372699824480005e-07	0.0007971843315529057
8.59521e-07	932.0636027729195	3.759729994823401e-07	0.0008007522669195002
8.63366e-07	932.0662228443882	3.7823200230634003e-07	0.0008043360545499617
8.67229e-07	932.0688527812914	3.8050499711466006e-07	0.0008079366341315518
8.71108e-07	932.0714828121512	3.8279099715108004e-07	0.0008115521342523762
8.75006e-07	932.0741128430108	3.8509200436278e-07	0.0008151853491779488
8.7892e-07	932.0767528332616	3.874059981568e-07	0.0008188334936020534
8.98446e-07	932.0780528156483	3.8856800310954005e-07	0.0008370332302368985
9.62821e-07	932.1186927680652	4.2637900225707997e-07	0.0008970370728873842
1.03414e-06	932.1616628421352	4.6927300060879995e-07	0.000963516389010957
1.11075e-06	932.2056928396883	5.164819998899998e-07	0.0010349309913217936
1.19307e-06	932.2508128268096	5.684410052145e-07	0.0011116720362540672
1.28151e-06	932.2970428162381	6.256270051218e-07	0.0011941223563343155
1.37653e-06	932.3444127801029	6.885650009481999e-07	0.001282711489523247
1.47861e-06	932.3929527844896	7.578349996643998e-07	0.00137788770891701
1.5883e-06	932.4426828421371	8.34074001173e-07	0.0014801646391569933
1.70614e-06	932.4936427906088	9.179829967379999e-07	0.0015900467207140311
1.83276e-06	932.5458427772087	1.0103300084124e-06	0.0017081223887999446
1.87003e-06	932.560752831051	1.0379399925766002e-06	0.0017428786446240737
1.93532e-06	932.5624028014686	1.0410599913928e-06	0.0018037656093983457
2.1888e-06	932.6529027533976	1.2275099896319999e-06	0.0020401631635570045
2.48111e-06	932.7490027956857	1.4516999917322e-06	0.0023128011783346714
2.81256e-06	932.8492627628204	1.7168400063888e-06	0.0026219776824698096
3.18838e-06	932.9538528100568	2.0304000155634e-06	0.0029725810052069657
3.61454e-06	933.0629727829091	2.401230008408e-06	0.003370192207634328
4.09777e-06	933.1768027960226	2.8397900147328003e-06	0.003821104117178725
4.64571e-06	933.2955427888684	3.3584500068246e-06	0.004332461986082849
5.26706e-06	933.4194128076124	3.9718300068571995e-06	0.0049124042224156055
5.97163e-06	933.5486127917252	4.6972400276543e-06	0.005570109662577796
6.77059e-06	933.6833828001112	5.5551399798487e-06	0.006316032234772757
6.83159e-06	933.6932328256617	5.6221100036384e-06	0.006372987242435823
7.09053e-06	933.6956227976171	5.6389700285964e-06	0.006614757854286592
7.70397e-06	933.7850027878484	6.299909988584701e-06	0.007187551737938915
8.38934e-06	933.8794327530239	7.059440010916001e-06	0.007827572640361337
9.13575e-06	933.9765928127513	7.910529992332499e-06	0.008524666127796758
9.94865e-06	934.0765828428092	8.864230038322001e-06	0.009283936765860791
1.08339e-05	934.1794728408036	9.932909973756e-06	0.010110874080836225
1.17981e-05	934.285332804341	1.1130399980334e-05	0.011011661384978562
1.28481e-05	934.3942727565042	1.2472300012974001e-05	0.011992718755789868
1.39917e-05	934.5063627888555	1.3976000053347e-05	0.013061356676179485
1.52371e-05	934.6217027771744	1.566100069313e-05	0.014225263346692957
1.65934e-05	934.7403927851526	1.754910019168e-05	0.015492972133449471
1.67431e-05	934.7530828343812	1.776059995303e-05	0.015632903741251293
1.74351e-05	934.7562427800038	1.781390021313e-05	0.01627975466828051
1.86075e-05	934.8459727582656	1.943060090175e-05	0.01737571583719768
1.99035e-05	934.9408727879022	2.125760078655e-05	0.01858733806074746
2.12897e-05	935.0379428372848	2.325629984501e-05	0.019883420991777933
2.27726e-05	935.137222837934	2.544309953406e-05	0.02127006282126508
2.43589e-05	935.2387728280652	2.7835399772109998e-05	0.022753552343669443
2.60556e-05	935.3426227798068	3.0452698761479996e-05	0.02434046054334005
2.78707e-05	935.4488427847224	3.331599932804e-05	0.02603829806327212
2.98122e-05	935.55749278707	3.6448601424179997e-05	0.027854578485042508
3.1889e-05	935.6686027589792	3.98758009507e-05	0.02979766027243039
3.41106e-05	935.7822528453604	4.362519927828e-05	0.03187646891462867
3.46509e-05	935.809142825066	4.454959834736999e-05	0.032382079428769715
3.62204e-05	935.81296281523	4.468330008204001e-05	0.033850836538270715
3.83975e-05	935.9099827857884	4.8302400067750005e-05	0.03588830116394956
4.07969e-05	936.0127627607	5.2371400738070004e-05	0.03813404768033393
4.33464e-05	936.1176528110991	5.678309912688e-05	0.04052054712668415
4.60552e-05	936.2246828151588	6.15664992496e-05	0.0430564485127391
4.89333e-05	936.3339027577464	6.67528015947e-05	0.04575115496222093
5.19913e-05	936.4453628116428	7.23761008953e-05	0.04861463569065367
5.52406e-05	936.5590927610644	7.847300104050001e-05	0.05165761321853636
5.86929e-05	936.6751627915302	8.508349925523e-05	0.054891098162951776
6.2361e-05	936.7936027812132	9.22509016884e-05	0.05832713496135083
6.62584e-05	936.9144727683284	0.00010002199767664002	0.06197843190479637
6.81102e-05	936.9189827751624	0.0001003219996023	0.06371341730101056
6.85705e-05	936.9322328052397	0.00010122800289985	0.06414468366667184
6.91891e-05	936.9499528166743	0.00010244800285687	0.06472427597757129
6.98133e-05	936.9677228129768	0.00010368299909244	0.06530912572396674
7.04431e-05	936.9855427941468	0.00010493299978615999	0.06589923328981619
7.10787e-05	937.0034127601843	0.00010619800331448	0.06649478647124284
7.17199e-05	937.0213427644373	0.00010747800057001001	0.06709559900036116
7.2367e-05	937.0393227535579	0.0001087729995782	0.06770195167012852
7.30198e-05	937.057362780894	0.00011008400060378	0.06831365721818454
7.36786e-05	937.0754527930973	0.00011141100251776	0.06893099645364374
7.43433e-05	937.0936028435161	0.00011275400004378001	0.06955387684423259
7.5014e-05	937.111802784846	0.0001141129996178	0.07018239177448464
7.53516e-05	937.1209227682494	0.00011479899900276	0.07049876192506127
7.88844e-05	937.125402802954	0.00011514400099356	0.0738094311238758
8.21378e-05	937.2046428178193	0.00012152199622554005	0.07685840551461594
8.57176e-05	937.2894428036104	0.00012863899956328	0.08021356254289948
8.94535e-05	937.3754727741822	0.00013617299667415005	0.08371534385713117
9.33521e-05	937.4627328234914	0.00014414800221804004	0.08736996677859381
9.74208e-05	937.5512427763631	0.0001525900041984	0.09118440210806912
0.000101667	937.64103279284	0.00016152700459499999	0.09516562387635469
0.000106098	937.7321027789656	0.0001709869957002	0.09932051364494247
0.000110722	937.8244828008252	0.00018100099580360002	0.1036568013888
0.000115548	937.9181927772013	0.000191601000312	0.1081829703387
0.000120584	938.013242761441	0.00020282199859840002	0.1129065668665
0.000122494	938.0486028273132	0.0002071199966002	0.11469820555810001
0.000126642	938.0535227664363	0.0002077420044318	0.1185892322257
0.000128937	938.0929427874198	0.0002127799991121	0.12074210976500001
0.000131569	938.137582844646	0.0002185949992844	0.12321122863799999
0.000134255	938.1825327704692	0.0002245680028625	0.12573112793420002
0.000136996	938.227782793412	0.00023070400392	0.1283027493276
0.000139792	938.2733328195177	0.0002370090043968	0.1309260967371
0.000142646	938.3191928081773	0.00024348499649879998	0.1336039945808
0.000145558	938.3653728127377	0.0002501390067372	0.13633644792910002
0.000148529	938.4118528204613	0.0002569740034772	0.13912440008399998
0.000151561	938.458652844086	0.00026399599738650005	0.14196973588630002
0.000154655	938.5057727896557	0.000271209998406	0.1448734002923
0.000157812	938.5532128450832	0.0002786219939532	0.1478363376315
0.000160773	938.5584428407168	0.0002794579919631	0.1506153985388
0.000161134	938.5636528236117	0.0002802959929274	0.1509542196411
0.000161497	938.56886083342	0.0002811369975939	0.1512949183204
0.00016186	938.5740777690976	0.000281979996408	0.1516356202312
0.000162223	938.57929780534	0.0002828260022308	0.1519763234256
0.000162588	938.584522821278	0.00028367500653	0.15231890538989998
0.000162954	938.5897508438247	0.0002845259946540001	0.1526624282643
0.00016332	938.594983846067	0.00028537899852	0.1530059537632
0.000163687	938.6002197609612	0.0002862350046136	0.1533504191673
0.000164055	938.605459809942	0.0002870940024465	0.15369582470659998
0.000164424	938.6107038050968	0.0002879549948496001	0.1540421713675
0.000167607	938.6159437601214	0.0002888190080226	0.1570297834777
0.000169499	938.6418008006564	0.0002931779963761001	0.1588056685975
0.000171798	938.6729588021832	0.0002984940084984	0.1609636429677
0.000174128	938.7042567989222	0.0003039080013664	0.1631507868265
0.00017649	938.735695796208	0.000309419002935	0.1653680439481
0.000178883	938.767276799376	0.00031503099440639994	0.1676144757812
0.00018131	938.7990008043644	0.000320744007815	0.169892902828
0.000183769	938.8308678017781	0.00032656100461099996	0.1722014487404
0.000186261	938.8628778010128	0.0003324830001702	0.17454105548190002
0.000188788	938.895032803342	0.0003385130064952	0.1769136024463
0.000191348	938.9273327993702	0.000344651999292	0.17931721527720001
0.000193943	938.9597788038279	0.00035090300933	0.1817537733712
0.000195254	938.9760558028678	0.000354069991401	0.1829847608083
0.000198954	938.9814538021516	0.000355131994707	0.186458984165
0.000202106	939.0189807966004	0.00036265799586999997	0.189418712137
0.000205769	939.062110803456	0.0003714530053398	0.1928584184725
0.000209498	939.1055007973932	0.0003804629909604	0.19636026121500003
0.000213295	939.1491527984775	0.0003896900076590001	0.1999261285384
0.000217161	939.193066797313	0.0003991410059238	0.2035569645728
0.000221097	939.2372448045692	0.0004088219946849	0.2072537151198
0.000225104	939.2816888027285	0.000418736997624	0.2110173282786
0.000229184	939.3264008024607	0.000428892989536	0.2148496888519
0.000233338	939.3713817997046	0.0004392949990576	0.2187517444873
0.000237567	939.4166337957344	0.00044994999746399996	0.2227244414434
0.000239173	939.4336728009288	0.0004540119888821	0.2242331578359
0.00024364	939.4393577997931	0.0004553740019800001	0.2284296311323
0.000244187	939.4449588015306	0.0004567399892679	0.2289435061656
0.000245286	939.4561728032525	0.0004594840108452	0.2299759627913
0.00024639	939.467404299678	0.000462245010495	0.23101312873490001
0.000247499	939.4786522995662	0.0004650230001115999	0.23205500396530002
0.000248613	939.4899172003528	0.00046781699642010004	0.2331015897885
0.000249732	939.5011990001586	0.0004706279953704001	0.2341528854333
0.000250856	939.5124978004573	0.00047345600661519995	0.2352088911416
0.000251985	939.5238134997747	0.00047630098866299997	0.236269607156
0.000253119	939.5351461995848	0.00047916299960549993	0.2373350336712
0.000254258	939.5464958998876	0.00048204298757540006	0.2384051699669
0.000255402	939.557862709954	0.00048493900527660005	0.2394800182465
0.000255977	939.563552489984	0.00048639400541210004	0.2400202654703
0.00027	939.7396997980532	0.00051414399	0.25321557495540004
0.00030375	939.8427318019295	0.000547180990875	0.2849300487939
0.000341719	939.9312517987532	0.0005795210128966999	0.3206128464205
0.000384434	940.0164018007619	0.0006144289831894	0.36075983642660003
0.000432488	940.1016648042748	0.000653466013648	0.4059292227942
0.000486549	940.1890118009461	0.0006980319991008	0.45674999150359996
0.000547367	940.27954879993	0.0007494870268429	0.5139285087611
0.000615788	940.374127798935	0.0008093830030104	0.578261720406
0.000692762	940.4734298042008	0.0008795000151196	0.6506447541628001
0.000779357	940.577992820147	0.0009618810065574	0.7320841617437
0.000876777	940.6883328183889	0.0010589600378544	0.8237149343456001
0.000986374	940.804932763618	0.001173609978615	0.9268119147710999
0.00110967	940.9281928166452	0.0013091800105740003	1.0428106077122
0.00124838	941.0585327751944	0.001469639999926	1.1733290111459
0.00140443	941.196432757074	0.001659800034874	1.3201847060221
0.00157998	941.3422428442708	0.001885140023166	1.4854167768259001
0.00177748	941.4963527684232	0.0021521599861439996	1.6713387771326
0.00199966	941.6591427715604	0.0024685400768339996	1.8805295813576999
0.00224962	941.8309428289746	0.002843170089052	2.1159185555178004
0.00253082	942.0121028347396	0.003286560055054	2.3807765100411
0.00284718	942.2028728071508	0.003810749988528	2.6788104254105
0.00320307	942.4034228075064	0.00442966003194	3.0141544714601
0.00360346	942.6139628286247	0.005159579968130001	3.3915121305263
0.00405389	942.8346428251087	0.006019200061829	3.8161287301404
0.00456062	943.065492769088	0.007029710023969999	4.293933637608499
0.0051307	943.3064728229989	0.00821529017982	4.8316072299331
0.00577204	943.5574828291924	0.009603490137392	5.436648043052
0.00649355	943.8183227542412	0.01122519988366	6.1175062698371
