R_km,M_solar
10.6636146363401,1.3620415596394841
10.64800448882183,1.3612537844174886
10.606993998554344,1.3589046393840687
10.59760117431859,1.3582775708258923
10.56303930221588,1.355767719128653
10.547197859815352,1.3543611743187307
10.528510183373236,1.3526307988732378
10.501651312303345,1.3494938786178223
10.496794545312113,1.348779893567563
10.48007161254128,1.3463569583624069
10.463509660450475,1.3432200381069914
10.451088975573409,1.340083117851576
10.446391230808874,1.3384829610897104
10.44153473724631,1.3369461975961607
10.434457306305477,1.3338092773407455
10.429694294925943,1.3306723570853298
10.426749415582456,1.3275354368299144
10.425138968589966,1.3243985165744991
10.424328622280555,1.3212615963190837
10.423702139168757,1.3181246760636682
10.422582624469676,1.3149877558082528
10.420313512407224,1.3118508355528373
10.416375952745334,1.3087139152974219
10.410491225652569,1.3055769950420066
10.402659010207328,1.3024400747865912
10.395987916305637,1.3002786741847663
10.392825728242109,1.2993031545311757
10.380825520027917,1.2961662342757603
10.367849405348299,1.293029314020345
10.354433073081749,1.2898923937649296
10.345584601802399,1.2878560727490784
10.340477179194865,1.2867554735095141
10.325912107359557,1.2836185532540987
10.31224006756607,1.2804816329986832
10.29971577650708,1.277344712743268
10.29518128729916,1.276107860789438
10.287563861891929,1.2742077924878525
10.276409053555797,1.271070872232437
10.266868071024486,1.2679339519770216
10.25883310213881,1.2647970317216064
10.252133740639783,1.261660111466191
10.246550346659534,1.2585231912107755
10.244777972795921,1.2573568492630653
10.241425744924836,1.2553862709553603
10.236760343378247,1.2522493506999446
10.232524952206651,1.2491124304445294
10.228519325373615,1.245975510189114
10.224657312509851,1.2428385899336987
10.220985041259341,1.239701669678283
10.217674476722319,1.2365647494228678
10.214995615950034,1.2334278291674523
10.213277440444166,1.2302909089120369
10.21286815957752,1.2271539886566214
10.214100494434927,1.224017068401206
10.217261976409613,1.2208801481457905
10.222567012835674,1.2177432278903753
10.230128073084547,1.2146063076349598
10.239927148156436,1.2114693873795441
10.244777972795921,1.210151086836985
10.251364018186258,1.208332467124129
10.264205901589438,1.2051955468687137
10.278323921534747,1.2020586266132982
10.293187609861585,1.1989217063578828
10.295181287299158,1.1984883860697058
10.307908696490193,1.1957847861024673
10.322338811514179,1.1926478658470518
10.33622160992636,1.1895109455916366
10.345584601802399,1.18726294312427
10.349408744412708,1.1863740253362212
10.361896166532656,1.1832371050808057
