R_km,M_solar
12.260910552925468,1.1822221107166775
12.311313867428705,1.180942139077759
12.361717181931944,1.1804292118386446
12.412120496435183,1.1806518948589488
12.462523810938421,1.1815747445213274
12.512927125441662,1.1831806242049927
12.51419651178035,1.1832371050808057
12.563330439944899,1.1855839585533556
12.576449863612085,1.186374025336221
12.613733754448136,1.188846201841851
12.622376447214307,1.1895109455916366
12.659056012443859,1.1926478658470518
12.664137068951376,1.1931317145109885
12.689981913155297,1.1957847861024673
12.714540383454615,1.1985803242300326
12.717479389364229,1.1989217063578828
12.742339119051923,1.2020586266132982
12.764943697957854,1.205099806092741
12.765670180996484,1.2051955468687137
12.78865918830095,1.208332467124129
12.81146048474454,1.2114693873795443
12.815347012461093,1.2119882573264324
12.835627701748102,1.2146063076349598
12.860831453939664,1.2177432278903753
12.865750326964331,1.2183179045102797
12.888458561294344,1.2208801481457905
12.91615364146757,1.2238661869158312
12.917599413352642,1.224017068401206
12.949130686575533,1.2271539886566214
12.966556955970809,1.2288425744733658
12.981592329961963,1.2302909089120369
13.01416555659402,1.2334278291674523
13.016960270474048,1.2336967747957759
13.046039290201108,1.2365647494228678
13.067363584977286,1.2387725699833732
13.075981442235975,1.239701669678283
13.103466743841828,1.2428385899336984
13.117766899480525,1.2446032439294652
13.128338485637647,1.2459755101891137
13.150521760947772,1.2491124304445294
13.168170213983762,1.251869689462018
13.170490655903702,1.2522493506999446
13.188247072036472,1.25538627095536
13.204438454387196,1.2585231912107755
13.218573528487003,1.2614701189140929
13.21945560931408,1.261660111466191
13.233321612189242,1.2647970317216064
13.246506842758215,1.2679339519770216
13.259218824066165,1.271070872232437
13.268976842990241,1.2735455876091322
13.271550557292946,1.2742077924878523
13.283433465660567,1.277344712743268
13.294938997766696,1.2804816329986832
13.305994259286253,1.2836185532540987
13.316472084732863,1.2867554735095141
13.31938015749348,1.287694663544589
13.326216100186587,1.2898923937649296
13.334986154332377,1.293029314020345
13.342560839065943,1.2961662342757603
13.348724829397609,1.2993031545311757
13.353262622118901,1.3024400747865912
13.355958702363047,1.3055769950420066
13.356597309832294,1.3087139152974219
13.3549661607431,1.3118508355528373
13.350865798890993,1.3149877558082528
13.344121141124564,1.3181246760636682
13.334586186646689,1.3212615963190837
13.32212976098855,1.3243985165744991
13.31938015749348,1.3249655660680966
13.306252498955391,1.3275354368299144
13.28693064383607,1.3306723570853296
13.268976842990241,1.3331262196530973
13.26366866572632,1.3338092773407453
13.235394042805424,1.3369461975961607
13.218573528487003,1.3385396410680164
13.201359277778327,1.340083117851576
13.168170213983764,1.3426408700596197
13.160343581619829,1.3432200381069914
