R_km,M_solar
13.429273150431694,1.3621510606860776
13.437674416652722,1.3625895917544881
13.489085897850057,1.365583545544208
13.5026265507087,1.366469466028887
13.540497379047398,1.3693166623707627
13.558203809238016,1.370787871371696
13.591908860244732,1.3741539905263949
13.600861036079914,1.3751062767145055
13.634295020566796,1.3794246820573146
13.64332034144207,1.3808738555958258
13.661066927735671,1.383743087400124
13.682317999471985,1.3880614927429333
13.694731822639406,1.3912563496176307
13.699306007022209,1.3923798980857425
13.713462995083379,1.3966983034285518
13.72405863655673,1.401016708771361
13.731363233942364,1.4053351141141703
13.735466885173338,1.4096535194569797
13.736374265479911,1.4139719247997888
13.734076095583996,1.4182903301425982
13.728601832982141,1.4226087354854073
13.72005684820283,1.4269271408282167
13.708646253181811,1.4312455461710258
13.694731822639406,1.4355507189262218
13.694692578893205,1.4355639515138352
13.680417201109323,1.4398823568566446
13.664843792106874,1.4442007621994537
13.648557129021832,1.448519167542263
13.64332034144207,1.4499399367137324
13.633368424104598,1.4528375728850724
13.619230142233729,1.4571559782278816
13.605962138015224,1.461474383570691
13.593740554824887,1.4657927889135003
13.591908860244732,1.4665210314762893
13.58340754835601,1.4701111942563094
13.573812700654106,1.4744295995991188
13.564336986323307,1.478748004941928
13.554527003389296,1.4830664102847373
13.54405380257193,1.4873848156275464
13.540497379047398,1.4887936267295456
13.533330573711558,1.4917032209703558
13.522221997103433,1.4960216263131652
13.510860516018798,1.5003400316559743
13.499707050531178,1.5046584369987837
13.489087938364383,1.508976842341593
13.48908589785006,1.5089777694161977
13.479333158107096,1.5132952476844022
13.469251137616379,1.5176136530272115
13.457442402555955,1.5219320583700207
13.441917917305506,1.52625046371283
13.437674416652722,1.5271433740128653
13.421153863279748,1.5305688690556392
13.393328898863457,1.5348872743984485
13.386262935455388,1.535765058167101
13.359599561014079,1.5392056797412579
13.33485145425805,1.541914484524396
13.321195363526186,1.543524085084067
13.283439973060712,1.5475175477289738
13.28063883806712,1.5478424904268764
13.240579009610123,1.5521608957696857
13.232028491863375,1.5530376871198261
13.20118133455966,1.5564793011124949
13.18061701066604,1.5586803557243258
13.16208563298272,1.5607977064553042
13.129205529468702,1.5644053475046098
13.122992827440886,1.5651161117981136
13.083944918099053,1.5694345171409227
13.077794048271366,1.5701022984604773
13.044400464166975,1.573752922483732
13.02638256707403,1.5756765519225526
13.00360591263562,1.5780713278265412
12.974971085876692,1.581025841921928
12.961266686439288,1.5823897331693506
12.923559604679356,1.586102254247916
12.917061524354093,1.5867081385121597
12.87214812348202,1.5909060267159367
12.870767945463648,1.591026543854969
12.822574098094737,1.5953449491977785
12.82073664228468,1.5955155297578119
12.77332257248282,1.5996633545405876
12.769325161087346,1.6000339387113245
12.72455421863189,1.6039817598833972
12.71791367989001,1.6046159065868235
12.677558322138935,1.6083001652262063
12.666502198692672,1.609397583204407
12.632141383002772,1.6126185705690155
12.615090717495336,1.6143064089952428
12.585793532096263,1.6169369759118248
12.563679236298,1.6189075436096925
12.532306865008309,1.621255381254634
12.512267755100662,1.6226475611904396
12.460856273903326,1.6252900969189181
12.451844211419381,1.6255737865974433
12.409444792705992,1.6267663390262372
