# This file was generated with EoS Explorer
# Radius [km]	Mass [M_solar]
r	m
54.253478838255425	0.10562725540513009
45.152927739333585	0.10931208114405284
38.40844424431896	0.11348240843069081
33.43321587639254	0.11812755037763978
30.004762577048712	0.12329638081418563
26.867383191151717	0.1289429220903927
24.431462170258868	0.13512608102475238
22.430575898967305	0.14187986236000352
20.859299075858587	0.14924331640386687
19.501977131569706	0.1572365181869107
18.401870536211913	0.16591206860097338
17.40567371738751	0.1752627601598456
16.566499388499384	0.1853622031882959
15.930038968906366	0.19624032978823286
15.313462350783125	0.20794715075533296
14.779032297165328	0.22051938480464708
14.315025835139352	0.23400557657733798
13.925124491279348	0.24843940958898392
13.564866563849373	0.2638855456995389
13.26624395983181	0.2803730181544899
13.000750001145581	0.29795611222913454
12.759995338580115	0.3166859680178089
12.564873399920572	0.3365714341346438
12.390154967098043	0.35768033765492957
12.232311068063707	0.3800620151274888
12.108813620514473	0.4037786128083747
11.981531196506358	0.4288862284200665
11.881747646177226	0.4554609080540332
11.787972675497011	0.48352967389951745
11.712589637129229	0.5131787527245033
11.651466516977766	0.5444201689439947
11.595494557148808	0.5772820368440816
11.548315913990418	0.6118170055557534
11.51108768784375	0.6480259813807323
11.478663093635303	0.685919804055142
11.45465902015055	0.72549251418672
11.435126953502667	0.7667290007542269
11.419649609070033	0.8095618721748743
11.410251362462523	0.8539696612084543
11.396175077316816	0.8998593373589735
11.389952709414422	0.9471499719360772
11.384260278553915	0.9957271671953932
11.380996565887111	1.0454612525718514
11.377345720837098	1.0962232073412201
11.370939194865947	1.1478419331163434
11.368115361384424	1.200146754416351
11.360662642698909	1.2529418884959358
11.35617936615962	1.3060355209552645
11.346115145580209	1.359210422719993
11.334353615793056	1.4122273691843528
11.320225863504325	1.464887780104636
11.304180625899292	1.516951983678835
11.284227843148003	1.5682089666596501
11.259954733120491	1.6184386804534296
11.233939712296237	1.667411748153968
11.203162999048597	1.7149281741369087
11.168720304061182	1.7607954273426079
11.13137817816628	1.8048259110609879
11.090771587693194	1.8468760007563763
11.045141039138866	1.8867336377111488
10.996426139129598	1.9243362339658048
10.944744799356181	1.959561877157834
10.888810327625837	1.9923241314837112
10.829986484667016	2.0225500302455304
10.767733987841636	2.050195352087362
10.702565239622691	2.0752229134191365
10.634664060983543	2.0976359514909477
10.564818537756997	2.1174317121745774
10.491568783127025	2.1346618244015376
10.41653562102919	2.149390731309994
10.33945219104687	2.1616203918759878
10.260857037668034	2.1714296569028972
10.180621717046751	2.1789449058282453
10.099393757807311	2.184231553945035
10.017019802145033	2.1873710617634305
