# This file was generated with EoS Explorer
# Radius [km]	Mass [M_solar]
r	m
43.32110520390588	0.10429785503347538
36.68320654654006	0.10880760573500801
31.81824725006129	0.1139342857469708
28.24016126601178	0.11968715631658665
25.431278011691916	0.12599604276405724
23.139532551885626	0.13289644440349843
21.31949705553355	0.1404901437552595
19.846358854709525	0.14876567431345541
18.652533862372657	0.15772090458085156
17.65417800191984	0.16739722009720834
16.793592458796144	0.17785579995228748
16.110623489183308	0.18912634760687613
15.49428793936346	0.2012676940019937
14.959253889102856	0.2143046798235833
14.517994176924509	0.22828514526215432
14.140624306964831	0.24324249891364402
13.805319963889593	0.2592518270029541
13.514456697103888	0.2763413930850792
13.266889383627838	0.29456150491698624
13.047784952446838	0.31395260353609805
12.84971198898667	0.33455847704622693
12.702331688032	0.3564300216150602
12.562648961929273	0.37958874269312914
12.445601326083107	0.40409870592295855
12.338723121834441	0.4299788129872671
12.251201858371138	0.4572585401518924
12.180647399159033	0.4859472591462321
12.113263199762239	0.5160896582248128
12.06835332781416	0.547674367753554
12.019315938729111	0.5807055355510707
11.98885779377284	0.6152089721698423
11.959842008586026	0.6511247655159917
11.928689696288883	0.6884584065463857
11.919328403410509	0.7271751769389866
11.900296316540944	0.767198279183034
11.885100350468596	0.8084946374816191
11.873256449740985	0.8510050018186344
11.863829565929393	0.8946085180296107
11.853461906990274	0.9392439320167801
11.841088863275427	0.9848079145210681
11.83062940859848	1.0311250718096756
11.819180074933367	1.0781378896797118
11.806032732061372	1.1256839636736913
11.793312346792963	1.1735555361889667
11.778127481726683	1.2216708778552308
11.761429130166048	1.269841996448192
11.738303540830637	1.3178348221737937
11.714670223811776	1.365555341260905
11.688677605562752	1.4127883971630169
11.65680353919031	1.4593424887338564
11.623035840409052	1.5050444754035555
11.586151833501598	1.5497287685594463
11.545254491848143	1.5932086386901954
11.50004022173919	1.6353523291026055
11.450949278828212	1.6759436169822994
11.398269680936783	1.7148998729765936
11.340704846056601	1.752075014386749
11.280474112251074	1.7872994369448107
11.217002788861203	1.8205189971992153
11.149956759009688	1.8516767957273261
11.080437563481622	1.8805639510238397
11.005780814740564	1.9071872466628412
10.929047747615995	1.9315540434298677
10.84972648033107	1.9535722067392391
10.768475089249758	1.9732612569071135
10.68376929421232	1.9906107386130474
10.597166290351497	2.005628815354905
10.507743375460858	2.0183949997283297
10.417074479737622	2.02887810684674
10.325040793807462	2.0371823423954663
10.231912743638583	2.043384630120269
10.137975323699061	2.047452212174749
10.04292972994693	2.0495228832174037
9.946356111898098	2.0497595724341364
9.845178549964567	2.0493021635636968
9.742046248254738	2.049376739021092
9.638435364440335	2.0504380022057567
9.5359223725243	2.0526075861873196
9.435751375204108	2.0559824573611385
9.340353800602294	2.0603003651622465
9.248984303015046	2.0657360531099047
9.163145868717283	2.0717670111109214
9.082670567067359	2.07849239048689
9.00748345574257	2.0856800416362304
8.93760072088299	2.0932616121546723
8.873631199330939	2.100941849037807
8.814479987831778	2.108663200739505
8.760177331029565	2.1163522114764795
8.710351260611727	2.1238829351384823
8.664331333160314	2.1311525845516304
8.622752546517528	2.1382394324383998
8.585184289053084	2.144950602521324
8.55040871611174	2.15139393097158
8.519072232561506	2.1574687242489685
8.490516932280222	2.1632583164300474
8.46420044039787	2.1686054869133415
8.440589739988322	2.1736400147884294
8.419134943608325	2.1783318013872206
8.39969879498436	2.182725365459086
