# This file was generated with EoS Explorer
# Radius [km]	Mass [M_solar]
r	m
76.5564070158986	0.09106873533006402
53.422950653887455	0.09552651111122101
41.03378833261231	0.10085141450997288
33.4224796196907	0.10698196717605202
28.187465190108952	0.1138622743518887
24.92077404405681	0.12159045367948908
22.32357313904624	0.13008288000104165
20.29282360334766	0.13940043801585955
18.767770107851263	0.14961782829269024
17.5345313396902	0.16071291440984498
16.525462248700702	0.17278465324799844
15.822596678441846	0.1858834788666869
15.149827702727425	0.2000374228750902
14.644112721644781	0.21533961311628444
14.18592362338353	0.23182052862522598
13.825679997137017	0.24955743712409473
13.51496720590706	0.2686095894355522
13.268132661717752	0.28903769143657954
13.07682494438508	0.3109427721018847
12.883811495400485	0.3342821625319561
12.752435593779193	0.3592123109045641
12.641827265789821	0.38577163415622867
12.55113508551401	0.41400005725165295
12.474490451249807	0.44392821051888876
12.428078608901483	0.4756620273385638
12.391283231367032	0.5091798632611285
12.35392738861433	0.5445248844543692
12.34039863146809	0.5817170685516933
12.341870946499242	0.6207612091660487
12.335333384822022	0.6616541348259571
12.345224245192174	0.7043895325279975
12.350722083126813	0.7489193607886878
12.374373329175862	0.7951960668950124
12.389132090013339	0.8431687243693401
12.410607097835653	0.8927546226583302
12.43380937082306	0.9438441488820914
12.458088045690161	0.9963218248795641
12.480091283974208	1.0500623878175652
12.503134560002781	1.10491340380876
12.520388198155239	1.1606998537500655
12.540261615576325	1.2172401255609009
12.551705639806835	1.2743323719513142
12.56657996512317	1.3317521263882939
12.57150050608244	1.3892771689265186
12.577817406129993	1.446676808781285
12.580186197270402	1.5037210945423731
12.575757805403443	1.5601407627543156
12.566014342497441	1.6156938473757083
12.551765657625062	1.6701454804637224
12.53358901261261	1.7232579026876342
12.507154764204243	1.7747920514346016
12.478161344069171	1.8245241535643186
12.442948128622549	1.8722773190079538
12.401946556695563	1.9178241214343443
12.353492239404204	1.96102109885639
12.30407523012617	2.0016879892314066
12.247465888548971	2.0397249433605116
12.186037485433285	2.0750323829624415
12.119574055164033	2.1075289085436704
12.04827517177893	2.1371583821097055
11.972315023592731	2.1638796421437623
11.893048033959303	2.187703026165602
11.80921539502407	2.2086251394184506
11.72233068047236	2.2267147169656862
11.633223164240773	2.241965418371811
11.539651274050529	2.254506831732985
11.444011467812162	2.2643823506183907
11.346046641757619	2.2717068533744817
11.246441355508079	2.276572556662479
11.144501881491017	2.27911788991692
