# This file was generated with EoS Explorer
# Radius [km]	Mass [M_solar]
r	m
15.517778838449447	0.14907520547182232
15.230578108017532	0.15716168689700613
14.885829502818572	0.16552442310247517
14.70735774414308	0.17417661050125066
14.491713017338222	0.18311000260472807
14.263634311473723	0.19232031096542257
14.079483312622248	0.20182842991522126
13.88287640435856	0.21162670474839532
13.7475494553514	0.22176266314819534
13.588952158853768	0.23223070901093842
13.459941217388502	0.24310985535596438
13.318163598047468	0.2544104700979423
13.196630058174389	0.2662150579290077
13.070672148253294	0.2785941708003589
12.957440783354212	0.2915950940567873
12.850917215500132	0.3053723334604915
12.731486260298338	0.31989374235344614
12.63839662480146	0.3353598176019429
12.549462111386777	0.35179682673142204
12.485897328128756	0.36933276683076793
12.41224666163452	0.3880330038722148
12.3262420780909	0.40797457588696917
12.264631612249033	0.42924258819370553
12.218164316598267	0.4519264735943435
12.165141790946288	0.47611109532955215
12.123573674869208	0.5018095014732791
12.072356465757995	0.5291019519245223
12.044594331782921	0.5580125636306732
12.015052394118651	0.5886334014017005
11.99245947404468	0.6209510538493118
11.978789539252054	0.6548981598872136
11.96632798214241	0.690524964936492
11.950747941286048	0.7278557293330778
11.94753653745277	0.7667724055153982
11.941159237476617	0.8072535564421238
11.93729803932948	0.8492076011646716
11.935971630984982	0.8925698525859026
11.939733966110692	0.9372276403821114
11.939157261703766	0.9830343916036425
11.93536334019299	1.0299014436604244
11.934551019971803	1.077675677396543
11.930131796553999	1.1261490636236062
11.928845381961063	1.1751955126440279
11.923518711087652	1.2246300069092613
11.910248607146078	1.2742487952925226
11.897313523535944	1.323880218436525
11.881591284288106	1.37329245084242
11.86360831134468	1.4223165514991492
11.841137773059243	1.4707964624788208
11.813868361615217	1.5184438850909807
11.785144831130125	1.5650892269184504
11.749922480248193	1.6106485234432149
11.710945802351189	1.6547451401967443
11.666949807392806	1.6973033635396502
11.62140544979603	1.738193436960018
11.567719811568795	1.7771210367785835
11.51350851470807	1.814004141205771
11.452976062131846	1.8487569638229349
11.389390316135303	1.8811029440729423
11.321558093757371	1.9110338334249721
11.250702589637955	1.9384390337425932
11.176103762961084	1.9632169146905039
11.096474720371935	1.9854246541164762
11.015138109805637	2.0048706550745248
10.930307353660327	2.021752935040814
10.84282444917494	2.0359421462453606
10.75251193482083	2.047474419913038
10.659659275913617	2.056526525728578
10.565294856421687	2.063139146840471
10.46854921548775	2.0672052735909143
