# This file was generated with EoS Explorer
# Radius [km]	Mass [M_solar]
r	m
184.69126853941023	0.09606402079369157
97.17808829202515	0.09766254410715018
62.75733058814703	0.1012425141118446
46.31744025288133	0.10628496920102265
36.57911723581791	0.11250693350091251
30.2796632905128	0.11982592856561639
25.945576646477907	0.12835260572811155
22.844594627139248	0.13787297488984468
20.601482694087434	0.14861666330578746
18.93574706483751	0.1604215242733249
17.600364919280945	0.17348512549348521
16.632473756526572	0.1878055721289532
15.855290450043178	0.20341605150437014
15.204200051192398	0.22036851130428362
14.679016613727224	0.2387306256057827
14.245427748700033	0.2585733128403366
13.91174929862039	0.27994367979858575
13.628043480966047	0.30288088075722813
13.405489056602796	0.327457903790446
13.243209602102507	0.3537363982735037
13.104938386986111	0.3817493098721215
12.98504549040458	0.4115473391251521
12.889108823983266	0.4431664640755446
12.836113692836692	0.4766417702688555
12.789382826279715	0.5119959489536755
12.769198399348356	0.5492352375668069
12.744074329372419	0.5883618162209467
12.739450263923997	0.629357545887272
12.749337867264977	0.6722187826584597
12.753198835580655	0.716870370523442
12.769221825214858	0.7632795763011986
12.785543460494075	0.8113497931773107
12.810781328753746	0.8610125998692151
12.837948919054604	0.9121078283366029
12.856409000430276	0.9645378109243665
12.883859253451769	1.0181344758764834
12.906190506093758	1.0727067963950423
12.926239479408038	1.128075127953708
12.947057453506265	1.184017800682795
12.963270655449666	1.2402751684113817
12.974110627111557	1.2966467032417341
12.981207902592377	1.3528335029465821
12.984340554817546	1.4085558546506027
12.981720091238266	1.4635809695565403
12.974729378705481	1.5175625785161944
12.958727560448771	1.570246320974095
12.939582350368623	1.6213714576534746
12.913703234729123	1.6706299863972354
12.877667411371103	1.7177996810270624
12.837770431270009	1.7625732091743211
12.791674789798986	1.8048021380493964
12.739697328203409	1.8442536919117793
12.681474745206462	1.8807567123794657
12.614754590933625	1.9141255365102388
12.54219930424985	1.9443165565157137
12.465871710684164	1.9711602432729285
12.381513896905677	1.9946647041650292
12.292386822765213	2.0147429703660436
12.198695933194406	2.0314553132638715
12.10136223940443	2.0448403209047736
11.998695384610022	2.0548829847855834
11.892084161796667	2.0617567990122767
11.783721368284322	2.0655072367068117
